,DAY_OF_WEEK,DISTANCE_GROUP,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,DAY_OF_MONTH,MONTH,ORIG_STATE,DEST_STATE,DEP_TIME,OUT_TAXI,IN_TAXI,ELAPSED_TIME,NEW_DIST_GROUP
0,2,11,19930,30559,32982,3.0,1.0,47,9.0,900.0,10.0,5.0,375.0,2750.0
1,6,5,19805,33570,30194,28.0,1.0,4,42.0,1500.0,10.0,5.0,195.0,1150.0
2,6,11,19930,30299,30466,21.0,1.0,0,3.0,900.0,50.0,5.0,345.0,2550.0
3,1,4,19977,32457,30325,23.0,1.0,4,5.0,1500.0,10.0,5.0,135.0,950.0
4,1,3,19393,30397,30852,2.0,1.0,8,44.0,900.0,30.0,5.0,105.0,550.0
5,7,4,20366,31453,33342,1.0,1.0,42,48.0,1500.0,30.0,5.0,165.0,950.0
6,4,1,20304,33785,30466,5.0,1.0,3,3.0,1500.0,10.0,5.0,45.0,150.0
7,1,2,20416,32575,32457,2.0,1.0,4,4.0,900.0,10.0,5.0,75.0,350.0
8,4,6,20304,34614,30977,5.0,1.0,43,12.0,900.0,30.0,5.0,165.0,1250.0
9,7,4,20366,30194,31650,15.0,1.0,42,21.0,1500.0,50.0,5.0,165.0,850.0
10,7,5,20416,32467,31703,22.0,1.0,7,29.0,900.0,30.0,5.0,165.0,1050.0
11,5,4,19790,31650,31057,20.0,1.0,21,25.0,900.0,10.0,15.0,165.0,950.0
12,5,1,20304,30333,34150,20.0,1.0,20,20.0,300.0,10.0,5.0,45.0,50.0
13,1,1,20366,30977,31003,9.0,1.0,12,10.0,900.0,10.0,5.0,75.0,150.0
14,7,6,19805,32337,30466,29.0,1.0,13,3.0,900.0,10.0,62.5,255.0,1450.0
15,6,1,20409,34945,34819,14.0,1.0,45,37.0,1500.0,10.0,5.0,45.0,50.0
16,2,11,19930,34057,32134,31.0,1.0,35,9.0,900.0,30.0,5.0,375.0,2650.0
17,2,1,20304,31295,30977,17.0,1.0,20,12.0,900.0,10.0,15.0,75.0,250.0
18,2,1,19805,32211,32575,10.0,1.0,31,4.0,1500.0,10.0,5.0,75.0,250.0
19,1,3,19393,30693,30194,9.0,1.0,41,42.0,900.0,10.0,5.0,105.0,650.0
20,1,2,19977,32457,32575,30.0,1.0,4,4.0,2100.0,30.0,35.0,105.0,350.0
21,1,4,19393,31454,30198,23.0,1.0,7,36.0,1500.0,10.0,5.0,135.0,850.0
22,4,2,19393,31123,31295,19.0,1.0,22,20.0,2100.0,10.0,5.0,75.0,450.0
23,2,10,19977,31703,32575,24.0,1.0,29,4.0,1500.0,10.0,5.0,375.0,2450.0
24,7,4,20409,32467,30852,15.0,1.0,7,44.0,1500.0,10.0,5.0,135.0,850.0
25,7,2,19393,32575,32457,29.0,1.0,4,4.0,1500.0,10.0,5.0,75.0,350.0
26,4,1,20304,30333,31295,12.0,1.0,20,20.0,1500.0,30.0,5.0,75.0,150.0
27,2,4,20436,30325,34057,10.0,1.0,5,35.0,1500.0,10.0,5.0,195.0,950.0
28,7,5,20436,32467,30977,15.0,1.0,7,12.0,1500.0,10.0,15.0,195.0,1150.0
29,2,3,19977,30325,30436,17.0,1.0,5,3.0,900.0,10.0,5.0,105.0,650.0
30,2,8,19790,30397,32575,31.0,1.0,8,4.0,1500.0,10.0,5.0,285.0,1950.0
31,6,4,19930,30559,32575,7.0,1.0,47,4.0,900.0,10.0,5.0,165.0,950.0
32,5,11,19690,32134,30466,27.0,1.0,9,3.0,1500.0,30.0,5.0,345.0,2950.0
33,3,8,19805,30466,30852,18.0,1.0,3,18.0,1500.0,10.0,5.0,255.0,1950.0
34,7,3,20304,30559,32457,29.0,1.0,47,4.0,1500.0,10.0,15.0,135.0,650.0
35,4,3,20366,31453,30928,26.0,1.0,42,14.0,900.0,10.0,5.0,105.0,550.0
36,4,2,19393,32211,32457,19.0,1.0,31,4.0,900.0,10.0,5.0,75.0,450.0
37,1,4,19977,31714,31453,23.0,1.0,7,42.0,900.0,10.0,5.0,165.0,850.0
38,7,1,20366,30397,30731,22.0,1.0,8,8.0,1500.0,30.0,5.0,105.0,250.0
39,5,2,19393,34524,30397,27.0,1.0,44,8.0,1500.0,10.0,5.0,105.0,450.0
40,4,9,19790,30397,33192,5.0,1.0,8,4.0,2100.0,30.0,5.0,345.0,2050.0
41,4,3,20304,31003,30325,26.0,1.0,10,5.0,1500.0,10.0,5.0,135.0,650.0
42,7,3,19805,31295,31057,1.0,1.0,20,25.0,1500.0,10.0,15.0,105.0,450.0
43,5,3,19790,34614,30466,27.0,1.0,43,3.0,1500.0,10.0,5.0,75.0,550.0
44,5,2,19393,32457,32575,27.0,1.0,4,4.0,1500.0,10.0,5.0,75.0,350.0
45,4,4,19805,30721,30977,5.0,1.0,17,12.0,900.0,10.0,15.0,165.0,850.0
46,2,2,19805,31454,31057,24.0,1.0,7,25.0,900.0,10.0,15.0,105.0,450.0
47,5,2,20304,31295,32945,6.0,1.0,20,15.0,1500.0,10.0,5.0,75.0,250.0
48,4,5,19805,31703,32467,5.0,1.0,29,7.0,900.0,30.0,15.0,195.0,1050.0
49,1,7,20436,30325,31454,16.0,1.0,5,7.0,1500.0,30.0,5.0,195.0,1550.0
50,5,2,20304,32457,32575,20.0,1.0,4,4.0,1500.0,30.0,15.0,105.0,350.0
51,1,7,19805,30466,31066,30.0,1.0,3,33.0,1500.0,10.0,5.0,225.0,1650.0
52,7,2,20366,30397,32945,29.0,1.0,8,15.0,1500.0,10.0,5.0,75.0,350.0
53,1,3,19393,30325,33198,23.0,1.0,5,22.0,1500.0,10.0,5.0,75.0,550.0
54,1,3,19790,30397,34576,30.0,1.0,8,32.0,1500.0,10.0,5.0,105.0,750.0
55,1,1,19805,34653,30194,23.0,1.0,34,42.0,300.0,30.0,5.0,75.0,250.0
56,4,3,20366,32337,31703,5.0,1.0,13,29.0,1500.0,30.0,5.0,135.0,650.0
57,5,2,19977,32457,32575,6.0,1.0,4,4.0,1500.0,30.0,25.0,105.0,350.0
58,5,10,19977,33570,30852,6.0,1.0,4,44.0,1500.0,10.0,5.0,255.0,2250.0
59,7,2,20409,31703,30792,15.0,1.0,32,32.0,900.0,10.0,5.0,75.0,350.0
60,3,6,19805,30977,30466,4.0,1.0,12,3.0,900.0,30.0,5.0,225.0,1450.0
61,3,10,19805,32575,34100,11.0,1.0,4,36.0,300.0,10.0,5.0,255.0,2450.0
62,5,10,19977,31703,32575,6.0,1.0,29,4.0,1500.0,10.0,15.0,375.0,2450.0
63,4,1,20366,35550,30397,12.0,1.0,8,8.0,1500.0,10.0,15.0,75.0,250.0
64,7,5,19393,31454,31986,29.0,1.0,7,20.0,1500.0,10.0,5.0,165.0,1050.0
65,7,2,20366,32323,30397,8.0,1.0,25,8.0,2100.0,10.0,5.0,75.0,350.0
66,2,2,20304,30140,30466,3.0,1.0,30,3.0,900.0,30.0,5.0,105.0,350.0
67,2,4,20304,30529,30977,24.0,1.0,6,12.0,1500.0,10.0,35.0,195.0,750.0
68,2,3,19790,34492,31295,31.0,1.0,25,20.0,1500.0,10.0,5.0,105.0,550.0
69,2,3,19790,30397,31721,3.0,1.0,8,20.0,2100.0,30.0,5.0,135.0,650.0
70,7,4,19393,34057,32575,15.0,1.0,35,4.0,1500.0,10.0,5.0,105.0,850.0
71,4,2,19790,30397,33044,12.0,1.0,8,15.0,2100.0,10.0,5.0,75.0,350.0
72,7,1,20366,30852,31703,1.0,1.0,44,29.0,1500.0,30.0,5.0,75.0,150.0
73,2,1,19393,30194,33851,10.0,1.0,42,34.0,2100.0,10.0,5.0,45.0,150.0
74,7,7,19790,31650,32457,29.0,1.0,21,4.0,900.0,50.0,25.0,285.0,1550.0
75,3,1,19805,34653,30194,4.0,1.0,34,42.0,900.0,10.0,5.0,75.0,250.0
76,3,3,19393,30436,30325,4.0,1.0,3,5.0,1500.0,10.0,15.0,105.0,650.0
77,3,5,19805,32211,30194,11.0,1.0,31,42.0,2100.0,10.0,5.0,135.0,1050.0
78,2,5,19790,31453,31650,24.0,1.0,42,21.0,900.0,10.0,5.0,165.0,1050.0
79,1,10,20409,32575,31703,9.0,1.0,4,32.0,1500.0,10.0,5.0,285.0,2450.0
80,7,4,20409,31454,31703,29.0,1.0,7,29.0,900.0,10.0,5.0,135.0,950.0
81,2,2,20366,33029,30977,24.0,1.0,27,12.0,900.0,10.0,15.0,105.0,450.0
