UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
0,2,1020,11,8,373,"2,701",11,19930,2017-01-03,30559,32982,879,AS,SEA,"Seattle, WA",WA,LIH,"Lihue, HI",HI,,-11
1,6,1220,13,9,183,"1,171",5,19805,2017-01-28,33570,30194,2491,AA,SAN,"San Diego, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,,1
2,6,945,48,6,355,"2,552",11,19930,2017-01-21,30299,30466,172,AS,ANC,"Anchorage, AK",AK,PHX,"Phoenix, AZ",AZ,,18
3,1,1437,17,8,136,967,4,19977,2017-01-23,32457,30325,2030,UA,SFO,"San Francisco, CA",CA,DEN,"Denver, CO",CO,,0
4,1,830,37,7,114,534,3,19393,2017-01-02,30397,30852,3812,WN,ATL,"Atlanta, GA",GA,IAD,"Washington, DC",VA,,197
5,7,1735,28,5,151,984,4,20366,2017-01-01,31453,33342,4220,EV,IAH,"Houston, TX",TX,MKE,"Milwaukee, WI",WI,,-17
6,4,1240,11,6,46,160,1,20304,2017-01-05,33785,30466,3063,OO,YUM,"Yuma, AZ",AZ,PHX,"Phoenix, AZ",AZ,,-15
7,1,710,10,4,75,337,2,20416,2017-01-02,32575,32457,949,NK,LAX,"Los Angeles, CA",CA,OAK,"Oakland, CA",CA,,-7
9,4,825,22,4,167,"1,250",6,20304,2017-01-05,34614,30977,5677,OO,SLC,"Salt Lake City, UT",UT,ORD,"Chicago, IL",IL,,478
10,7,1632,43,6,162,852,4,20366,2017-01-15,30194,31650,5153,EV,DFW,"Dallas/Fort Worth, TX",TX,MSP,"Minneapolis, MN",MN,,4
